Time,Value,Value Attributes
14-Feb-2024,03:17:39.1875,83.71
14-Feb-2024,03:17:10.1875,83.26
14-Feb-2024,03:11:04.03125,82.81
14-Feb-2024,03:07:30.96875,82.50
14-Feb-2024,03:06:45.90625,82.11
14-Feb-2024,03:05:56.84375,82.06
14-Feb-2024,03:05:30.8125,81.91
14-Feb-2024,03:05:24.8125,82.04
14-Feb-2024,03:05:08.8125,81.60
14-Feb-2024,03:04:49.8125,81.14
14-Feb-2024,03:01:29.5625,80.53
14-Feb-2024,03:01:26.5625,80.30
14-Feb-2024,03:01:22.5625,80.36
14-Feb-2024,03:01:18.5625,80.41
14-Feb-2024,03:01:12.5625,80.32
14-Feb-2024,03:00:47.5625,79.79
14-Feb-2024,02:59:18.53125,79.99
14-Feb-2024,02:59:07.53125,79.79
14-Feb-2024,02:58:56.53125,79.25
14-Feb-2024,02:55:57.59375,79.14
14-Feb-2024,02:55:38.59375,79.38
14-Feb-2024,02:55:34.59375,79.02
14-Feb-2024,02:55:31.59375,79.77
14-Feb-2024,02:55:29.59375,80.16
14-Feb-2024,02:55:27.59375,79.37
14-Feb-2024,02:55:26.59375,78.27
14-Feb-2024,02:55:24.59375,80.13
14-Feb-2024,02:55:23.59375,78.40
14-Feb-2024,02:55:22.59375,76.03
14-Feb-2024,02:55:21.59375,79.08
14-Feb-2024,02:55:20.59375,79.31
14-Feb-2024,02:55:19.59375,75.20
14-Feb-2024,02:55:18.59375,76.13
14-Feb-2024,02:55:17.59375,79.94
14-Feb-2024,02:55:16.59375,76.38
14-Feb-2024,02:55:15.59375,74.59
14-Feb-2024,02:55:14.59375,79.11
14-Feb-2024,02:55:13.59375,77.00
14-Feb-2024,02:55:12.59375,73.54
14-Feb-2024,02:55:11.59375,77.18
14-Feb-2024,02:55:10.59375,76.89
14-Feb-2024,02:55:09.59375,73.76
14-Feb-2024,02:55:08.59375,75.40
14-Feb-2024,02:55:07.59375,75.93
14-Feb-2024,02:55:06.59375,74.02
14-Feb-2024,02:55:04.59375,74.05
14-Feb-2024,02:54:58.59375,70.00
14-Feb-2024,02:54:57.59375,68.97
14-Feb-2024,02:54:56.59375,68.36
14-Feb-2024,02:54:54.59375,65.16
14-Feb-2024,02:54:49.59375,55.98
14-Feb-2024,02:54:46.59375,50.85
14-Feb-2024,02:54:42.59375,44.63
14-Feb-2024,02:54:35.59375,34.24
14-Feb-2024,02:54:26.59375,23.11
14-Feb-2024,02:54:25.59375,22.25
14-Feb-2024,02:52:04.59375,21.90
14-Feb-2024,02:51:47.59375,21.08
14-Feb-2024,02:51:38.59375,19.70
14-Feb-2024,02:51:32.59375,17.68
14-Feb-2024,02:51:27.59375,14.64
14-Feb-2024,02:51:23.59375,10.91
14-Feb-2024,02:51:20.59375,7.09
14-Feb-2024,02:51:17.59375,2.24
14-Feb-2024,02:51:16.59375,0.00
13-Feb-2024,21:38:25.125,0.00
13-Feb-2024,13:48:02.71875,0.00
13-Feb-2024,05:57:37.46875,0.00
12-Feb-2024,22:07:12.71875,0.00
12-Feb-2024,14:16:49.03125,0.00
12-Feb-2024,06:26:30.90625,0.00
11-Feb-2024,22:36:06.78125,0.00
11-Feb-2024,14:45:40.3125,0.00
11-Feb-2024,06:55:18.03125,0.00
10-Feb-2024,23:04:58.78125,0.00
10-Feb-2024,15:14:38.875,0.00
10-Feb-2024,07:24:20.5,0.00
9-Feb-2024,23:34:02,0.00
9-Feb-2024,15:43:52.28125,0.00
9-Feb-2024,07:53:42.375,0.00
9-Feb-2024,00:03:29.46875,0.00
8-Feb-2024,16:13:15.75,0.00
8-Feb-2024,08:23:10.21875,0.00
8-Feb-2024,00:33:03.46875,0.00
7-Feb-2024,16:42:51.375,0.00
7-Feb-2024,08:52:37.28125,0.00
7-Feb-2024,01:02:24.8125,0.00
6-Feb-2024,17:12:17.5,0.00
6-Feb-2024,09:22:05.3125,0.00
6-Feb-2024,01:31:59.0625,0.00
5-Feb-2024,17:41:46.75,0.00
5-Feb-2024,09:51:41.375,0.00
5-Feb-2024,02:01:28.625,0.00
4-Feb-2024,18:11:22.09375,0.00
4-Feb-2024,10:21:07.65625,0.00
4-Feb-2024,02:30:56,0.00
3-Feb-2024,18:40:49.34375,0.00
3-Feb-2024,10:50:37.53125,0.00
3-Feb-2024,03:00:22.875,0.00
2-Feb-2024,19:10:09.34375,0.00
2-Feb-2024,11:19:57.59375,0.00
2-Feb-2024,03:29:44.84375,0.00
1-Feb-2024,19:39:36.8125,0.00
1-Feb-2024,11:49:24.09375,0.00
1-Feb-2024,03:59:11.625,0.00
31-Jan-2024,20:08:57.875,0.00
31-Jan-2024,12:18:47.1875,0.00
31-Jan-2024,04:28:39,0.00
30-Jan-2024,20:38:25.78125,0.00
30-Jan-2024,12:48:11.25,0.00
30-Jan-2024,04:57:58.96875,0.00
29-Jan-2024,21:07:52.1875,0.00
29-Jan-2024,13:17:41.15625,0.00
29-Jan-2024,13:17:41.09375,Bad
29-Jan-2024,13:17:39.09375,0.00
29-Jan-2024,13:17:33.09375,Bad
29-Jan-2024,06:29:23.5,0.00
29-Jan-2024,06:29:20.705,Intf,Shut
29-Jan-2024,05:42:02.3125,0.00
28-Jan-2024,21:51:49.21875,0.00
28-Jan-2024,14:01:39.15625,0.00
28-Jan-2024,06:11:29.53125,0.00
27-Jan-2024,22:21:08.84375,0.00
27-Jan-2024,14:31:02.21875,0.00
27-Jan-2024,06:40:48.875,0.00
26-Jan-2024,22:50:33.25,0.00
26-Jan-2024,15:00:22.15625,0.00
26-Jan-2024,07:10:16.25,0.00
25-Jan-2024,23:20:08.6875,0.00
25-Jan-2024,15:29:56.375,0.00
25-Jan-2024,07:39:50.59375,0.00
24-Jan-2024,23:49:45.1875,0.00
24-Jan-2024,15:59:39.4375,0.00
24-Jan-2024,08:09:23.40625,0.00
24-Jan-2024,08:09:15.259,Intf,Shut
24-Jan-2024,08:08:17.375,0.00
16-Jan-2024,14:09:12.6875,0.00
16-Jan-2024,10:19:05.75,0.00
16-Jan-2024,02:28:49.125,0.07
16-Jan-2024,02:28:10.125,0.49
16-Jan-2024,02:27:10.125,2.02
16-Jan-2024,02:26:34.09375,4.13
16-Jan-2024,02:26:11.0625,6.75
16-Jan-2024,02:25:56.0625,9.66
16-Jan-2024,02:25:46.0625,12.76
16-Jan-2024,02:25:42.0625,14.18
16-Jan-2024,02:25:40.0625,12.37
16-Jan-2024,02:25:37.0625,8.91
16-Jan-2024,02:25:34.0625,4.44
16-Jan-2024,02:25:32.0625,0.69
16-Jan-2024,02:25:31.0625,0.00
16-Jan-2024,00:35:33.40625,0.00
15-Jan-2024,16:45:00.125,0.00
15-Jan-2024,08:54:29.40625,0.00
15-Jan-2024,01:04:02.75,0.00
14-Jan-2024,17:13:44.71875,0.00
14-Jan-2024,09:23:26.09375,0.00
14-Jan-2024,01:33:06.28125,0.00
13-Jan-2024,17:42:45.75,0.00
13-Jan-2024,09:52:27.4375,0.00
13-Jan-2024,02:02:09.0625,0.00
12-Jan-2024,18:11:53.21875,0.00
12-Jan-2024,10:21:33.78125,0.00
12-Jan-2024,02:31:05.84375,0.00
11-Jan-2024,18:40:46.75,0.00
11-Jan-2024,10:50:29.75,0.00
11-Jan-2024,03:00:11.8125,0.00
10-Jan-2024,19:09:49.78125,0.00
10-Jan-2024,11:19:30.90625,0.00
10-Jan-2024,03:29:05.4375,0.00
9-Jan-2024,19:38:44.46875,0.00
9-Jan-2024,11:48:29.625,0.00
9-Jan-2024,03:58:08.84375,0.00
8-Jan-2024,20:07:48.21875,0.00
8-Jan-2024,12:17:28.75,0.00
8-Jan-2024,04:27:08.75,0.00
7-Jan-2024,20:36:53.71875,0.00
7-Jan-2024,12:46:32.875,0.00
7-Jan-2024,04:56:06.25,0.00
6-Jan-2024,21:05:45.65625,0.00
6-Jan-2024,13:15:25.15625,0.00
6-Jan-2024,05:25:07.6875,0.00
5-Jan-2024,21:34:50.96875,0.00
5-Jan-2024,13:44:30.25,0.00
5-Jan-2024,05:54:08.78125,0.00
4-Jan-2024,22:03:49.1875,0.00
4-Jan-2024,14:13:29.75,0.00
4-Jan-2024,06:23:10.5625,0.00
3-Jan-2024,22:32:57.59375,0.00
3-Jan-2024,14:42:36.40625,0.00
