Name	\\HST1\T1.TTWS1FI
Data Type	Float 32
Number of Values	16734
Time	Value	Value Attributes
21-Mar-2024 07:01:07.375	278
21-Mar-2024 06:59:50.375	278
21-Mar-2024 06:54:40.21875	277
21-Mar-2024 06:52:09.21875	277
21-Mar-2024 06:43:36.0625	277
21-Mar-2024 06:39:01.90625	277
21-Mar-2024 06:37:11.90625	277
21-Mar-2024 06:33:30.78125	277
21-Mar-2024 06:31:02.75	277
21-Mar-2024 06:29:16.75	277
21-Mar-2024 06:23:29.6875	277
21-Mar-2024 06:19:41.6875	277
21-Mar-2024 06:17:44.625	277
21-Mar-2024 06:14:53.59375	277
21-Mar-2024 06:08:42.53125	277
