Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
9-Nov-2023 21:32:49.59375	51
9-Nov-2023 21:28:57.875	51
9-Nov-2023 21:28:32.875	51
9-Nov-2023 21:20:04.8125	51
9-Nov-2023 21:15:21	51
9-Nov-2023 21:10:21.90625	51
9-Nov-2023 21:06:59.3125	51
9-Nov-2023 21:04:46.96875	51
9-Nov-2023 20:56:13.3125	51
9-Nov-2023 20:46:42.375	51
9-Nov-2023 20:42:24.4375	51
9-Nov-2023 20:42:21.40625	51
9-Nov-2023 20:41:19.15625	51
9-Nov-2023 20:36:57.3125	51
9-Nov-2023 20:34:18.78125	51
9-Nov-2023 20:30:38.125	51
9-Nov-2023 20:30:23.0625	51
9-Nov-2023 20:27:50.4375	51
9-Nov-2023 20:23:19.6875	51
9-Nov-2023 20:19:18.5625	51
9-Nov-2023 20:15:21	51
9-Nov-2023 20:13:20.625	51
9-Nov-2023 20:09:04.65625	51
9-Nov-2023 20:06:06.96875	51
9-Nov-2023 20:02:03	51
9-Nov-2023 19:57:43.3125	51
9-Nov-2023 19:56:13	51
9-Nov-2023 19:49:51.65625	51
9-Nov-2023 19:46:52.125	51
9-Nov-2023 19:44:14.375	51
9-Nov-2023 19:43:09.1875	51
9-Nov-2023 19:36:58.21875	51
9-Nov-2023 19:33:15.40625	51
9-Nov-2023 19:31:37.09375	51
9-Nov-2023 19:29:59.875	51
9-Nov-2023 19:29:53.875	51
9-Nov-2023 19:25:33.21875	51
9-Nov-2023 19:25:31.21875	51
9-Nov-2023 19:25:03.90625	51
9-Nov-2023 19:25:01.90625	51
9-Nov-2023 19:24:22.8125	51
9-Nov-2023 19:24:21.8125	51
9-Nov-2023 19:21:22.25	51
9-Nov-2023 19:16:26.1875	51
9-Nov-2023 19:12:50.84375	51
9-Nov-2023 19:06:28.25	51
9-Nov-2023 19:03:48.59375	51
9-Nov-2023 19:03:41.59375	51
9-Nov-2023 19:02:10.4375	51
9-Nov-2023 18:56:43.3125	51
9-Nov-2023 18:50:40.46875	51
9-Nov-2023 18:47:54.71875	51
9-Nov-2023 18:45:44.3125	51
9-Nov-2023 18:42:27.875	51
9-Nov-2023 18:42:13.78125	51
9-Nov-2023 18:37:56.25	51
9-Nov-2023 18:36:54.0625	51
9-Nov-2023 18:36:49.0625	51
9-Nov-2023 18:36:48.03125	51
9-Nov-2023 18:35:56.875	51
9-Nov-2023 18:31:37.75	51
9-Nov-2023 18:27:35.875	51
9-Nov-2023 18:22:10.15625	51
9-Nov-2023 18:20:21.9375	51
9-Nov-2023 18:15:25.75	51
9-Nov-2023 18:13:43.25	51
9-Nov-2023 18:13:37.25	51
9-Nov-2023 18:13:03.1875	51
