Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
24-Mar-2024 12:47:00.375	30
24-Mar-2024 12:46:47.375	30
24-Mar-2024 12:46:21.3125	30
24-Mar-2024 12:45:37.25	30
24-Mar-2024 12:45:30.25	30
24-Mar-2024 12:44:57.125	30
24-Mar-2024 12:44:51.125	30
24-Mar-2024 12:44:00.0625	30
24-Mar-2024 12:43:52	30
24-Mar-2024 12:43:42	30
24-Mar-2024 12:43:40	30
24-Mar-2024 12:43:06.96875	30
24-Mar-2024 12:42:50.9375	30
24-Mar-2024 12:42:43.90625	30
24-Mar-2024 12:42:27.84375	30
24-Mar-2024 12:41:35.84375	30
24-Mar-2024 12:41:23.8125	30
24-Mar-2024 12:41:08.8125	30
24-Mar-2024 12:41:02.8125	30
24-Mar-2024 12:41:01.8125	30
24-Mar-2024 12:40:48.8125	30
