Time,Value,Value Attributes
18-Feb-2024,10:10:47.1875,78.64
18-Feb-2024,09:02:05.875,78.42
18-Feb-2024,09:01:49.875,77.19
18-Feb-2024,08:33:36.3125,77.02
18-Feb-2024,00:38:46.25,76.96
18-Feb-2024,00:38:28.25,75.55
18-Feb-2024,00:35:48.1875,75.43
18-Feb-2024,00:30:44.125,75.49
17-Feb-2024,22:32:45.59375,75.39
17-Feb-2024,21:28:19.34375,75.36
17-Feb-2024,19:47:41.4375,75.34
17-Feb-2024,13:49:51.59375,75.33
17-Feb-2024,07:30:48.28125,75.49
17-Feb-2024,07:30:40.28125,76.11
17-Feb-2024,07:03:35.78125,76.45
17-Feb-2024,07:03:23.78125,77.41
17-Feb-2024,04:14:38.78125,77.48
16-Feb-2024,20:15:39.25,77.48
16-Feb-2024,12:22:20.875,77.51
