Time,Value,Value Attributes
30-Mar-2024,04:22:05.78125,24
30-Mar-2024,04:22:00.78125,24
30-Mar-2024,04:21:57.78125,24
30-Mar-2024,04:21:54.75,24
30-Mar-2024,04:21:52.75,24
30-Mar-2024,04:21:51.75,24
30-Mar-2024,04:21:48.75,24
30-Mar-2024,04:21:47.75,24
30-Mar-2024,04:21:46.75,23
30-Mar-2024,04:21:45.71875,24
30-Mar-2024,04:21:26.625,24
30-Mar-2024,04:21:25.625,23
30-Mar-2024,04:21:23.625,24
30-Mar-2024,04:20:51.53125,24
30-Mar-2024,04:20:50.53125,24
30-Mar-2024,04:20:49.53125,24
30-Mar-2024,04:20:47.53125,24
30-Mar-2024,04:20:25.53125,24
30-Mar-2024,04:20:24.53125,24
30-Mar-2024,04:20:23.53125,24
30-Mar-2024,04:20:06.5,24
30-Mar-2024,04:20:05.5,24
30-Mar-2024,04:19:57.5,24
30-Mar-2024,04:19:56.5,24
